session,birth_year,home_location,sex,domain,domain_lang
,,,,di SD dengan teman sekelas,Indonesia
,,,,di SMA dengan guru,Indonesia
,,,,di SMA dengan teman sekelas,Indonesia
,,,,di kendaraan umum,Indonesia
,,,,membaca novel/buku cerita,Indonesia
,,,,membaca koran,Inggris
,,,,membaca majalah,Inggris
,,,,mendengar musik,Inggris
,,,,mendengar radio,Indonesia
,,,,menonton TV,Indonesia
YCTHWR,,Bali - Negara,Laki,dengan ibu,BALI
,,,,dengan bapak,BALI
,,,,dengan kakak/adik,BALI
,,,,dengan nenek dan kakek,BALI
,,,,dengan suami/istri (kalau sudah menikah),BALI
,,,,"dengan sanak saudara (tante, om, sepupu, dll)",BALI
,,,,dengan tetangga,"BALI, INDONESIA"
,,,,dengan pembantu,
,,,,apabila marah,BALI
,,,,dalam mimpi,
,,,,berhitung,INDONESIA
,,,,kirim sms ke keluarga,BALI
,,,,kirim sms ke teman,"BALI, INDONESIA"
,,,,kirim sms ke suami/istri ,
,,,,dalam jejaring sosial (FB),"BALI, INDONESIA"
,,,,berdoa dalam hati,BALI
,,,,berdoa di tempat ibadah,BALI
,,,,di rumah,BALI
,,,,di tempat kerja,INDONESIA
,,,,di pasar,BALI
,,,,di warung,BALI
,,,,di bank,"BALI, INDONESIA"
,,,,di kantor pos,INDONESIA
,,,,di SD dengan guru,"BALI, INDONESIA"
,,,,di SD dengan teman sekelas,BALI
,,,,di SMA dengan guru,"BALI, INDONESIA"
,,,,di SMA dengan teman sekelas,"BALI, INDONESIA"
,,,,di kendaraan umum,INDONESIA
,,,,membaca novel/buku cerita,INDONESIA
,,,,membaca koran,INDONESIA
,,,,membaca majalah,INDONESIA
,,,,mendengar musik,INGGRIS
,,,,mendengar radio,INDONESIA
,,,,menonton TV,INDONESIA
MJRPFX,1995,Bali - SINGARAJA,Perempuan,dengan ibu,BALI
,,,,dengan bapak,BALI
,,,,dengan kakak/adik,BALI
,,,,dengan nenek dan kakek,BALI
,,,,dengan suami/istri (kalau sudah menikah),
,,,,"dengan sanak saudara (tante, om, sepupu, dll)",INDONESIA
,,,,dengan tetangga,KE 2 BAHASA
,,,,dengan pembantu,
,,,,apabila marah,BALI
,,,,dalam mimpi,
,,,,berhitung,INDONESIA
,,,,kirim sms ke keluarga,INDONESIA
,,,,kirim sms ke teman,INGGRIS
,,,,kirim sms ke suami/istri ,
,,,,dalam jejaring sosial (FB),INGGRIS
,,,,berdoa dalam hati,INGGRIS
,,,,berdoa di tempat ibadah,BALI
,,,,di rumah,BALI
,,,,di tempat kerja,
,,,,di pasar,BALI
,,,,di warung,INDONESIA
,,,,di bank,INDONESIA
,,,,di kantor pos,INDONESIA
,,,,di SD dengan guru,INDONESIA
,,,,di SD dengan teman sekelas,BALI
,,,,di SMA dengan guru,INDONESIA
,,,,di SMA dengan teman sekelas,BALI
,,,,di kendaraan umum,INDONESIA
,,,,membaca novel/buku cerita,"INGGRIS, INDONESIA"
,,,,membaca koran,
,,,,membaca majalah,
,,,,mendengar musik,INGGRIS
,,,,mendengar radio,
,,,,menonton TV,
BEDUCF,1995,Bali - Kabupaten Buleleng,Laki,dengan ibu,Bali
,,,,dengan bapak,Bali
,,,,dengan kakak/adik,Bali
,,,,dengan nenek dan kakek,Bali
,,,,dengan suami/istri (kalau sudah menikah),
,,,,"dengan sanak saudara (tante, om, sepupu, dll)",Bali
,,,,dengan tetangga,Bali
,,,,dengan pembantu,
,,,,apabila marah,Indonesia
,,,,dalam mimpi,Indonesia
,,,,berhitung,Indonesia
,,,,kirim sms ke keluarga,Bali
,,,,kirim sms ke teman,Indonesia
,,,,kirim sms ke suami/istri ,
,,,,dalam jejaring sosial (FB),campuran
,,,,berdoa dalam hati,campuran
,,,,berdoa di tempat ibadah,Bali
,,,,di rumah,Bali
,,,,di tempat kerja,
,,,,di pasar,Bali
,,,,di warung,campuran
,,,,di bank,Indonesia
,,,,di kantor pos,Indonesia
,,,,di SD dengan guru,campuran
,,,,di SD dengan teman sekelas,Bali
,,,,di SMA dengan guru,Indonesia
,,,,di SMA dengan teman sekelas,campuran
,,,,di kendaraan umum,campuran
,,,,membaca novel/buku cerita,Indonesia
,,,,membaca koran,Indonesia
,,,,membaca majalah,Indonesia
,,,,mendengar musik,"Indonesia, Inggris"
,,,,mendengar radio,Indonesia
,,,,menonton TV,Indonesia
AYSGGI,1995,Bali - Kabupaten Buleleng,Perempuan,dengan ibu,BALI
,,,,dengan bapak,BALI
,,,,dengan kakak/adik,BALI
,,,,dengan nenek dan kakek,BALI
,,,,dengan suami/istri (kalau sudah menikah),
,,,,"dengan sanak saudara (tante, om, sepupu, dll)",BALI
,,,,dengan tetangga,BALI
,,,,dengan pembantu,
,,,,apabila marah,BALI
,,,,dalam mimpi,INDONESIA
,,,,berhitung,INDONESIA
,,,,kirim sms ke keluarga,BALI
,,,,kirim sms ke teman,INDONESIA
,,,,kirim sms ke suami/istri ,
,,,,dalam jejaring sosial (FB),INDONESIA
,,,,berdoa dalam hati,BALI
,,,,berdoa di tempat ibadah,BALI
,,,,di rumah,BALI
,,,,di tempat kerja,INDONESIA
,,,,di pasar,BALI
,,,,di warung,BALI
,,,,di bank,INDONESIA
,,,,di kantor pos,INDONESIA
,,,,di SD dengan guru,INDONESIA
,,,,di SD dengan teman sekelas,INDONESIA
,,,,di SMA dengan guru,INDONESIA
,,,,di SMA dengan teman sekelas,BALI
,,,,di kendaraan umum,BALI
,,,,membaca novel/buku cerita,INDONESIA
,,,,membaca koran,INDONESIA
,,,,membaca majalah,INDONESIA
,,,,mendengar musik,INDONESIA
,,,,mendengar radio,INDONESIA
,,,,menonton TV,INDONESIA
YMPHSK,194,Bali - Kabupaten Buleleng,Perempuan,dengan ibu,BALI
,,,,dengan bapak,BALI
,,,,dengan kakak/adik,BALI
,,,,dengan nenek dan kakek,bali alus
,,,,dengan suami/istri (kalau sudah menikah),BALI
,,,,"dengan sanak saudara (tante, om, sepupu, dll)","bali, indonesia"
,,,,dengan tetangga,BALI
,,,,dengan pembantu,BALI
,,,,apabila marah,BALI
,,,,dalam mimpi,campuran
,,,,berhitung,INDONESIA
,,,,kirim sms ke keluarga,bali alus
,,,,kirim sms ke teman,INDONESIA
,,,,kirim sms ke suami/istri ,BALI
,,,,dalam jejaring sosial (FB),INDONESIA
,,,,berdoa dalam hati,bali alus
,,,,berdoa di tempat ibadah,bali alus
,,,,di rumah,BALI
,,,,di tempat kerja,INDONESIA
,,,,di pasar,"bali, indonesia"
,,,,di warung,"bali, indonesia"
,,,,di bank,INDONESIA
,,,,di kantor pos,INDONESIA
,,,,di SD dengan guru,INDONESIA
,,,,di SD dengan teman sekelas,BALI
,,,,di SMA dengan guru,INDONESIA
,,,,di SMA dengan teman sekelas,BALI
,,,,di kendaraan umum,BALI
,,,,membaca novel/buku cerita,INDONESIA
,,,,membaca koran,INDONESIA
,,,,membaca majalah,INDONESIA
,,,,mendengar musik,"Bali, Indonesia, inggris"
,,,,mendengar radio,INDONESIA
,,,,menonton TV,"Bali, Indonesia, inggris"
ATSRZH,1995,Bali - Kabupaten Gianyar,Laki,dengan ibu,BALI
,,,,dengan bapak,BALI
,,,,dengan kakak/adik,BALI
,,,,dengan nenek dan kakek,BALI
,,,,dengan suami/istri (kalau sudah menikah),
,,,,"dengan sanak saudara (tante, om, sepupu, dll)",BALI
,,,,dengan tetangga,
,,,,dengan pembantu,
,,,,apabila marah,
,,,,dalam mimpi,
,,,,berhitung,
,,,,kirim sms ke keluarga,BALI
,,,,kirim sms ke teman,"BALI, INDONESIA"
,,,,kirim sms ke suami/istri ,
,,,,dalam jejaring sosial (FB),INDONESIA
,,,,berdoa dalam hati,BALI
,,,,berdoa di tempat ibadah,
,,,,di rumah,BALI
,,,,di tempat kerja,
,,,,di pasar,BALI
,,,,di warung,BALI
,,,,di bank,INDONESIA
,,,,di kantor pos,INDONESIA
,,,,di SD dengan guru,INDONESIA
,,,,di SD dengan teman sekelas,"BALI, INDONESIA"
,,,,di SMA dengan guru,INDONESIA
,,,,di SMA dengan teman sekelas,"BALI, INDONESIA"
,,,,di kendaraan umum,"BALI, INDONESIA"
,,,,membaca novel/buku cerita,INDONESIA
,,,,membaca koran,INDONESIA
,,,,membaca majalah,INDONESIA
,,,,mendengar musik,INDONESIA
,,,,mendengar radio,INDONESIA
,,,,menonton TV,INDONESIA
TTNETP,1977,Maluku Utara - Kota Ternate,Perempuan,dengan ibu,Bahasa Pasar Ternate
,,,,dengan bapak,"Bahasa Pasar, Daerah Ternate"
,,,,dengan kakak/adik,Bahasa Pasar Ternate
,,,,dengan nenek dan kakek,Bahasa Ternate
,,,,dengan suami/istri (kalau sudah menikah),Bahasa Pasar Ternate
,,,,"dengan sanak saudara (tante, om, sepupu, dll)",Bahasa Pasar Ternate
,,,,dengan tetangga,Bahasa Pasar Ternate
,,,,dengan pembantu,Bahasa Pasar Ternate
,,,,apabila marah,Bahasa Pasar Ternate
,,,,dalam mimpi,
,,,,berhitung,Indonesia
,,,,kirim sms ke keluarga,Indonesia
,,,,kirim sms ke teman,"Bahasa Pasar, Formal"
,,,,kirim sms ke suami/istri ,"Bahasa Pasar, Formal"
,,,,dalam jejaring sosial (FB),Formal Indonesia
,,,,berdoa dalam hati,Formal Indonesia
,,,,berdoa di tempat ibadah,Formal Indonesia
,,,,di rumah,Bahasa Pasar Ternate
,,,,di tempat kerja,Bahasa Pasar Ternate
,,,,di pasar,Bahasa Pasar Ternate
,,,,di warung,Bahasa Pasar Ternate
,,,,di bank,Formal
,,,,di kantor pos,Formal
,,,,di SD dengan guru,Bahasa Pasar Ternate
,,,,di SD dengan teman sekelas,Bahasa Pasar Ternate
,,,,di SMA dengan guru,Formal
,,,,di SMA dengan teman sekelas,Bahasa Pasar Ternate
,,,,di kendaraan umum,Bahasa Pasar Ternate
,,,,membaca novel/buku cerita,Formal
,,,,membaca koran,Formal
,,,,membaca majalah,Formal
,,,,mendengar musik,Formal
,,,,mendengar radio,Formal
,,,,menonton TV,Formal
QVTVEC,1987, Maluku Utara - Kota Ternate,Laki,dengan ibu,Makian
,,,,dengan bapak,Makian
,,,,dengan kakak/adik,Melayu Ternate
,,,,dengan nenek dan kakek,Melayu Ternate
,,,,dengan suami/istri (kalau sudah menikah),
,,,,"dengan sanak saudara (tante, om, sepupu, dll)",Melayu Ternate
,,,,dengan tetangga,Melayu Ternate
,,,,dengan pembantu,Melayu Ternate
,,,,apabila marah,Melayu Ternate
,,,,dalam mimpi,Melayu Ternate
,,,,berhitung,Indonesia
,,,,kirim sms ke keluarga,Melayu Ternate
,,,,kirim sms ke teman,Melayu Ternate
,,,,kirim sms ke suami/istri ,Melayu Ternate
,,,,dalam jejaring sosial (FB),Indonesia
,,,,berdoa dalam hati,"Arab, Indonesia"
,,,,berdoa di tempat ibadah,Arab
,,,,di rumah,Makian
,,,,di tempat kerja,Indonesia
,,,,di pasar,Melayu Ternate
,,,,di warung,Melayu Ternate
,,,,di bank,Indonesia
,,,,di kantor pos,Indonesia
,,,,di SD dengan guru,Melayu Ternate
,,,,di SD dengan teman sekelas,Melayu Ternate
,,,,di SMA dengan guru,Indonesia
,,,,di SMA dengan teman sekelas,Melayu Ternate
,,,,di kendaraan umum,Melayu Ternate
,,,,membaca novel/buku cerita,Melayu Ternate
,,,,membaca koran,Indonesia
,,,,membaca majalah,Indonesia
,,,,mendengar musik,Indonesia
,,,,mendengar radio,"Indonesia, Melayu Ternate"
,,,,menonton TV,Indonesia
KGKWOU,1964,Maluku Utara - Makyan,Laki,dengan ibu,Makyan
,,,,dengan bapak,Makyan
,,,,dengan kakak/adik,Makyan
,,,,dengan nenek dan kakek,Makyan
,,,,dengan suami/istri (kalau sudah menikah),Indonesia
,,,,"dengan sanak saudara (tante, om, sepupu, dll)",Makyan
,,,,dengan tetangga,Melayu Ternate
,,,,dengan pembantu,Melayu Ternate
,,,,apabila marah,"Melayu Ternate, Indonesia"
,,,,dalam mimpi,Indonesia
,,,,berhitung,Indonesia
,,,,kirim sms ke keluarga,Indonesia
,,,,kirim sms ke teman,Indonesia
,,,,kirim sms ke suami/istri ,Indonesia
,,,,dalam jejaring sosial (FB),Indonesia
,,,,berdoa dalam hati,Indonesia
,,,,berdoa di tempat ibadah,"Indonesia, Arab"
,,,,di rumah,Indonesia
,,,,di tempat kerja,Indonesia
,,,,di pasar,Indonesia
,,,,di warung,Indonesia
,,,,di bank,Indonesia
,,,,di kantor pos,Indonesia
,,,,di SD dengan guru,Indonesia
,,,,di SD dengan teman sekelas,Indonesia
,,,,di SMA dengan guru,Indonesia
,,,,di SMA dengan teman sekelas,Indonesia
,,,,di kendaraan umum,Indonesia
,,,,membaca novel/buku cerita,Indonesia
,,,,membaca koran,Indonesia
,,,,membaca majalah,Indonesia
,,,,mendengar musik,Indonesia
,,,,mendengar radio,Indonesia
,,,,menonton TV,Indonesia
XQJVFM,1981,Maluku Utara - Kota Ternate,Perempuan,dengan ibu,TABA
,,,,dengan bapak,TABA
,,,,dengan kakak/adik,TABA
,,,,dengan nenek dan kakek,TABA
,,,,dengan suami/istri (kalau sudah menikah),
,,,,"dengan sanak saudara (tante, om, sepupu, dll)",Melayu Ternate
,,,,dengan tetangga,Melayu Ternate
,,,,dengan pembantu,TABA
,,,,apabila marah,TABA
,,,,dalam mimpi,Melayu Ternate
,,,,berhitung,Melayu Ternate
,,,,kirim sms ke keluarga,TABA
,,,,kirim sms ke teman,
,,,,kirim sms ke suami/istri ,"Taba, Melayu Ternate"
,,,,dalam jejaring sosial (FB),"Taba, Melayu Ternate"
,,,,berdoa dalam hati,"Taba, Melayu Ternate"
,,,,berdoa di tempat ibadah,"Taba, Melayu Ternate"
,,,,di rumah,TABA
,,,,di tempat kerja,Melayu
,,,,di pasar,Melayu
,,,,di warung,Melayu
,,,,di bank,Melayu
,,,,di kantor pos,Melayu
,,,,di SD dengan guru,Melayu
,,,,di SD dengan teman sekelas,Melayu
,,,,di SMA dengan guru,Melayu
,,,,di SMA dengan teman sekelas,Melayu
,,,,di kendaraan umum,Melayu
,,,,membaca novel/buku cerita,Indonesia
,,,,membaca koran,Indonesia
,,,,membaca majalah,Indonesia
,,,,mendengar musik,Indonesia
,,,,mendengar radio,Indonesia
,,,,menonton TV,Indonesia
TWGBKI,1976,Maluku Utara - Kota Ternate,Perempuan,dengan ibu,Melayu Ternate
,,,,dengan bapak,Melayu Ternate
,,,,dengan kakak/adik,Melayu Ternate
,,,,dengan nenek dan kakek,Melayu Ternate
,,,,dengan suami/istri (kalau sudah menikah),Melayu Ternate
,,,,"dengan sanak saudara (tante, om, sepupu, dll)",Melayu Ternate
,,,,dengan tetangga,Melayu Ternate
,,,,dengan pembantu,Melayu Ternate
,,,,apabila marah,Melayu Ternate
,,,,dalam mimpi,Melayu Ternate
,,,,berhitung,Melayu Ternate
,,,,kirim sms ke keluarga,Melayu Ternate
,,,,kirim sms ke teman,Melayu Ternate
,,,,kirim sms ke suami/istri ,Melayu Ternate
,,,,dalam jejaring sosial (FB),Indonesia
,,,,berdoa dalam hati,Indonesia
,,,,berdoa di tempat ibadah,Indonesia
,,,,di rumah,Melayu Ternate
,,,,di tempat kerja,Indonesia
,,,,di pasar,Melayu Ternate
,,,,di warung,Melayu Ternate
,,,,di bank,Melayu Ternate
,,,,di kantor pos,Melayu Ternate
,,,,di SD dengan guru,Melayu Ternate
,,,,di SD dengan teman sekelas,Melayu Ternate
,,,,di SMA dengan guru,Melayu Ternate
,,,,di SMA dengan teman sekelas,Melayu Ternate
,,,,di kendaraan umum,Melayu Ternate
,,,,membaca novel/buku cerita,
,,,,membaca koran,
,,,,membaca majalah,
,,,,mendengar musik,
,,,,mendengar radio,
,,,,menonton TV,
QDBURI,1984,Maluku Utara - Kabupaten Kepulauan Sula,Perempuan,dengan ibu,Sula
,,,,dengan bapak,Sula
,,,,dengan kakak/adik,Sula
,,,,dengan nenek dan kakek,Sula
,,,,dengan suami/istri (kalau sudah menikah),Melayu Ternate
,,,,"dengan sanak saudara (tante, om, sepupu, dll)",Sula
,,,,dengan tetangga,Sula
,,,,dengan pembantu,Melayu Ternate
,,,,apabila marah,Melayu Ternate
,,,,dalam mimpi,
,,,,berhitung,Indonesia
,,,,kirim sms ke keluarga,Sula
,,,,kirim sms ke teman,Melayu Ternate
,,,,kirim sms ke suami/istri ,Melayu Ternate
,,,,dalam jejaring sosial (FB),
,,,,berdoa dalam hati,"Indonesia, Melayu Ternate"
,,,,berdoa di tempat ibadah,Indonesia
,,,,di rumah,"Melayu ternate, Sula"
,,,,di tempat kerja,Indonesia
,,,,di pasar,Melayu Ternate
,,,,di warung,Melayu Ternate
,,,,di bank,Indonesia
,,,,di kantor pos,Indonesia
,,,,di SD dengan guru,Indonesia
,,,,di SD dengan teman sekelas,Sula
,,,,di SMA dengan guru,Indonesia
,,,,di SMA dengan teman sekelas,Melayu Sula
,,,,di kendaraan umum,Melayu Ternate
,,,,membaca novel/buku cerita,Indonesia
,,,,membaca koran,Indonesia
,,,,membaca majalah,Indonesia
,,,,mendengar musik,Indonesia
,,,,mendengar radio,Indonesia
,,,,menonton TV,Indonesia
ICZSAT,1967,Maluku Utara - Kota Ternate,Perempuan,dengan ibu,"Jawa, Indonesia"
,,,,dengan bapak,"Jawa, Indonesia"
,,,,dengan kakak/adik,"Jawa, Indonesia"
,,,,dengan nenek dan kakek,"Jawa, Indonesia"
,,,,dengan suami/istri (kalau sudah menikah),Indonesia
,,,,"dengan sanak saudara (tante, om, sepupu, dll)",Indonesia
,,,,dengan tetangga,Indonesia
,,,,dengan pembantu,
,,,,apabila marah,Indonesia
,,,,dalam mimpi,"Jawa, Indonesia"
,,,,berhitung,"Jawa, Indonesia"
,,,,kirim sms ke keluarga,"Jawa, Indonesia"
,,,,kirim sms ke teman,"Jawa, Indonesia"
,,,,kirim sms ke suami/istri ,Indonesia
,,,,dalam jejaring sosial (FB),
,,,,berdoa dalam hati,"Arab, Indonesia, Jawa"
,,,,berdoa di tempat ibadah,"Arab, Indonesia, Jawa"
,,,,di rumah,Indonesia dialek ternate
,,,,di tempat kerja,Indonesia
,,,,di pasar,Indonesia dialek ternate
,,,,di warung,Indonesia dialek ternate
,,,,di bank,Indonesia
,,,,di kantor pos,Indonesia
,,,,di SD dengan guru,Indonesia
,,,,di SD dengan teman sekelas,"Jawa, Indonesia"
,,,,di SMA dengan guru,"Jawa, Indonesia"
,,,,di SMA dengan teman sekelas,"Jawa, Indonesia"
,,,,di kendaraan umum,"Jawa, Indonesia"
,,,,membaca novel/buku cerita,Indonesia
,,,,membaca koran,Indonesia
,,,,membaca majalah,Indonesia
,,,,mendengar musik,Indonesia
,,,,mendengar radio,Indonesia
,,,,menonton TV,Indonesia
MPHUZB,1969,Maluku Utara - Kota Ternate,Perempuan,dengan ibu,"Sanana, Indonesia"
,,,,dengan bapak,"Sanana, Indonesia"
,,,,dengan kakak/adik,"Sanana, Ambon, Indonesia"
,,,,dengan nenek dan kakek,"Sanana, Ambon, Indonesia"
,,,,dengan suami/istri (kalau sudah menikah),Indonesia
,,,,"dengan sanak saudara (tante, om, sepupu, dll)","Sanana, Ambon, Indonesia"
,,,,dengan tetangga,
,,,,dengan pembantu,
,,,,apabila marah,Indonesia
,,,,dalam mimpi,"Indonesia, Inggris"
,,,,berhitung,"Indonesia, Inggris, Sanana"
,,,,kirim sms ke keluarga,"Sanana, Indonesia"
,,,,kirim sms ke teman,"Indonesia, Inggris"
,,,,kirim sms ke suami/istri ,"Indonesia, Dialek ternate"
,,,,dalam jejaring sosial (FB),Inggris
,,,,berdoa dalam hati,"Indonesia, Arab"
,,,,berdoa di tempat ibadah,"Indonesia, Arab"
,,,,di rumah,Indonesia dialek ternate
,,,,di tempat kerja,"Indonesia, Dialek Ternate"
,,,,di pasar,"Indonesia, Dialek ternate"
,,,,di warung,"Indonesia, Dialek ternate"
,,,,di bank,"Indonesia, Dialek ternate"
,,,,di kantor pos,"Indonesia, Dialek ternate"
,,,,di SD dengan guru,"Indonesia, Dialek ternate"
,,,,di SD dengan teman sekelas,"Indonesia, Dialek ternate"
,,,,di SMA dengan guru,"Indonesia, Dialek ternate"
,,,,di SMA dengan teman sekelas,"Indonesia, Dialek ternate"
,,,,di kendaraan umum,"Indonesia, Dialek ternate"
,,,,membaca novel/buku cerita,Inggris
,,,,membaca koran,Inggris
,,,,membaca majalah,Inggris
,,,,mendengar musik,Inggris
,,,,mendengar radio,Inggris
,,,,menonton TV,Inggris
UUOJCF,1983,Sulawesi Selatan - Kabupaten Bone,Laki,dengan ibu,Bugis
,,,,dengan bapak,Bugis
,,,,dengan kakak/adik,Bugis
,,,,dengan nenek dan kakek,Bugis
,,,,dengan suami/istri (kalau sudah menikah),
,,,,"dengan sanak saudara (tante, om, sepupu, dll)",Bugis
,,,,dengan tetangga,
,,,,dengan pembantu,
,,,,apabila marah,Bugis
,,,,dalam mimpi,"Bugis, Indonesia"
,,,,berhitung,"Bugis, Indonesia"
,,,,kirim sms ke keluarga,Indonesia
,,,,kirim sms ke teman,Indonesia
,,,,kirim sms ke suami/istri ,
,,,,dalam jejaring sosial (FB),Indonesia
,,,,berdoa dalam hati,Bugis
,,,,berdoa di tempat ibadah,"Bugis, Indonesia"
,,,,di rumah,Bugis
,,,,di tempat kerja,Indonesia
,,,,di pasar,Indonesia
,,,,di warung,Indonesia
,,,,di bank,Indonesia
,,,,di kantor pos,Indonesia
,,,,di SD dengan guru,Bugis
,,,,di SD dengan teman sekelas,Bugis
,,,,di SMA dengan guru,"Bugis, Indonesia"
,,,,di SMA dengan teman sekelas,Bugis
,,,,di kendaraan umum,Indonesia
,,,,membaca novel/buku cerita,Indonesia
,,,,membaca koran,Indonesia
,,,,membaca majalah,Indonesia
,,,,mendengar musik,Indonesia
,,,,mendengar radio,Indonesia
,,,,menonton TV,Indonesia
YRRILZ,1977,Maluku Utara - Kabupaten Halmahera Selatan,Laki,dengan ibu,Makyan
,,,,dengan bapak,Makyan
,,,,dengan kakak/adik,Makyan
,,,,dengan nenek dan kakek,Makyan
,,,,dengan suami/istri (kalau sudah menikah),
,,,,"dengan sanak saudara (tante, om, sepupu, dll)","Makyan, Melayu"
,,,,dengan tetangga,"Makyan, Melayu"
,,,,dengan pembantu,
,,,,apabila marah,"Makyan, Melayu"
,,,,dalam mimpi,"Makyan, Melayu"
,,,,berhitung,Melayu
,,,,kirim sms ke keluarga,"Makyan, Melayu"
,,,,kirim sms ke teman,"Melayu, Inggris"
,,,,kirim sms ke suami/istri ,
,,,,dalam jejaring sosial (FB),"Indonesia, Inggris"
,,,,berdoa dalam hati,"Arab, Indonesia"
,,,,berdoa di tempat ibadah,"Arab, Indonesia"
,,,,di rumah,Makyan
,,,,di tempat kerja,Melayu
,,,,di pasar,Melayu
,,,,di warung,Melayu
,,,,di bank,"Melayu, Indonesia"
,,,,di kantor pos,"Melayu, Indonesia"
,,,,di SD dengan guru,Melayu
,,,,di SD dengan teman sekelas,Melayu
,,,,di SMA dengan guru,"Melayu, Indonesia"
,,,,di SMA dengan teman sekelas,Melayu
,,,,di kendaraan umum,Melayu
,,,,membaca novel/buku cerita,Indonesia
,,,,membaca koran,Indonesia
,,,,membaca majalah,Indonesia
,,,,mendengar musik,"Indonesia, Inggris"
,,,,mendengar radio,Indonesia
,,,,menonton TV,"Indonesia, Inggris"
EBJMFW,,Maluku Utara - Kota Ternate,Perempuan,dengan ibu,Melayu Ternate
,,,,dengan bapak,Melayu Ternate
,,,,dengan kakak/adik,Melayu Ternate
,,,,dengan nenek dan kakek,Melayu Ternate
,,,,dengan suami/istri (kalau sudah menikah),Indonesia
,,,,"dengan sanak saudara (tante, om, sepupu, dll)",Melayu Ternate
,,,,dengan tetangga,Melayu Ternate
,,,,dengan pembantu,Melayu Ternate
,,,,apabila marah,Melayu Ternate
,,,,dalam mimpi,
,,,,berhitung,
,,,,kirim sms ke keluarga,Melayu Ternate
,,,,kirim sms ke teman,"Indonesia, Melayu ternate"
,,,,kirim sms ke suami/istri ,"Melayu JKT, Melayu Ternate"
,,,,dalam jejaring sosial (FB),"Indonesia, Melayu ternate"
,,,,berdoa dalam hati,Indonesia
,,,,berdoa di tempat ibadah,Indonesia
,,,,di rumah,Melayu Ternate
,,,,di tempat kerja,"Indonesia, Melayu ternate"
,,,,di pasar,Melayu Ternate
,,,,di warung,Melayu Ternate
,,,,di bank,Indonesia
,,,,di kantor pos,Indonesia
,,,,di SD dengan guru,Indonesia
,,,,di SD dengan teman sekelas,Melayu Ternate
,,,,di SMA dengan guru,Indonesia
,,,,di SMA dengan teman sekelas,Melayu Ternate
,,,,di kendaraan umum,Melayu Ternate
,,,,membaca novel/buku cerita,
,,,,membaca koran,
,,,,membaca majalah,
,,,,mendengar musik,
,,,,mendengar radio,
,,,,menonton TV,"Indonesia, Melayu ternate"
HLHEUG,1976,Maluku Utara - Kabupaten Halmahera Tengah,Laki,dengan ibu,Patani
,,,,dengan bapak,Indonesia
,,,,dengan kakak/adik,Patani
,,,,dengan nenek dan kakek,Patani
,,,,dengan suami/istri (kalau sudah menikah),Indonesia
,,,,"dengan sanak saudara (tante, om, sepupu, dll)",Patani
,,,,dengan tetangga,Indonesia
,,,,dengan pembantu,
,,,,apabila marah,Indonesia
,,,,dalam mimpi,
,,,,berhitung,Indonesia
,,,,kirim sms ke keluarga,Indonesia
,,,,kirim sms ke teman,Indonesia
,,,,kirim sms ke suami/istri ,Indonesia
,,,,dalam jejaring sosial (FB),Indonesia
,,,,berdoa dalam hati,Patani
,,,,berdoa di tempat ibadah,Arab
,,,,di rumah,Indonesia
,,,,di tempat kerja,Indonesia
,,,,di pasar,Indonesia
,,,,di warung,Indonesia
,,,,di bank,Indonesia
,,,,di kantor pos,Indonesia
,,,,di SD dengan guru,Indonesia
,,,,di SD dengan teman sekelas,Patani
,,,,di SMA dengan guru,Indonesia
,,,,di SMA dengan teman sekelas,Indonesia
,,,,di kendaraan umum,Indonesia
,,,,membaca novel/buku cerita,Indonesia
,,,,membaca koran,Indonesia
,,,,membaca majalah,Indonesia
,,,,mendengar musik,Indonesia
,,,,mendengar radio,Indonesia
,,,,menonton TV,Indonesia
QTIEFL,1978,Maluku Utara - Kao,Laki,dengan ibu,Jawa
,,,,dengan bapak,Jawa
,,,,dengan kakak/adik,Jawa
,,,,dengan nenek dan kakek,Jawa
,,,,dengan suami/istri (kalau sudah menikah),Melayu Ternate
,,,,"dengan sanak saudara (tante, om, sepupu, dll)","Jawa, Melayu ternate"
,,,,dengan tetangga,
,,,,dengan pembantu,
,,,,apabila marah,Melayu Ternate
,,,,dalam mimpi,Melayu Ternate
,,,,berhitung,Melayu Ternate
,,,,kirim sms ke keluarga,Jawa
,,,,kirim sms ke teman,Melayu Ternate
,,,,kirim sms ke suami/istri ,Melayu Ternate
,,,,dalam jejaring sosial (FB),Melayu
,,,,berdoa dalam hati,Indonesia
,,,,berdoa di tempat ibadah,"Arab, Indonesia"
,,,,di rumah,Jawa
,,,,di tempat kerja,Melayu Ternate
,,,,di pasar,Melayu Ternate
,,,,di warung,Melayu Ternate
,,,,di bank,Indonesia
,,,,di kantor pos,Indonesia
,,,,di SD dengan guru,Melayu Ternate
,,,,di SD dengan teman sekelas,Jawa
,,,,di SMA dengan guru,Melayu Ternate
,,,,di SMA dengan teman sekelas,Melayu Ternate
,,,,di kendaraan umum,Melayu Ternate
,,,,membaca novel/buku cerita,Indonesia
,,,,membaca koran,Indonesia
,,,,membaca majalah,Indonesia
,,,,mendengar musik,TOBELO
,,,,mendengar radio,Melayu Ternate
,,,,menonton TV,
KSUXCX,1993,"Riau - Pangean, Teluk Kuantan",Perempuan,dengan ibu,Pangean
,,,,dengan bapak,Pangean
,,,,dengan kakak/adik,Pangean
