	speaker	domain	language
14732	mzaira	di sma dengan teman sekelas	jawa
14733	mzaira	di kendaraan umum	indonesia
14734	mzaira	membaca novel/buku cerita	indonesia
14735	mzaira	membaca koran	indonesia
14736	mzaira	membaca majalah	indonesia
14737	mzaira	mendengar musik	indonesia
14738	mzaira	mendengar radio	indonesia
14739	mzaira	menonton tv	indonesia
14740	vuhhgw	dengan ibu	indonesia
14741	vuhhgw	dengan bapak	indonesia
14742	vuhhgw	dengan kakak/adik	indonesia
14743	vuhhgw	dengan nenek dan kakek	indonesia
14744	vuhhgw	dengan suami/istri (kalau sudah menikah)	indonesia
14745	vuhhgw	dengan sanak saudara (tante, om, sepupu, dll)	indonesia
14746	vuhhgw	dengan tetangga	indonesia
14747	vuhhgw	dengan pembantu	indonesia
14748	vuhhgw	apabila marah	indonesia
14749	vuhhgw	dalam mimpi	indonesia
14750	vuhhgw	berhitung	indonesia
14751	vuhhgw	kirim sms ke keluarga	indonesia
14752	vuhhgw	kirim sms ke teman	indonesia
14753	vuhhgw	kirim sms ke suami/istri 	indonesia
14754	vuhhgw	dalam jejaring sosial (fb)	indonesia
14755	vuhhgw	berdoa dalam hati	indonesia
14756	vuhhgw	berdoa di tempat ibadah	indonesia
14757	vuhhgw	di rumah	indonesia
14758	vuhhgw	di tempat kerja	indonesia
14759	vuhhgw	di pasar	indonesia
14760	vuhhgw	di warung	indonesia
14761	vuhhgw	di bank	indonesia
14762	vuhhgw	di kantor pos	indonesia
14763	vuhhgw	di sd dengan guru	indonesia
14764	vuhhgw	di sd dengan teman sekelas	indonesia
14765	vuhhgw	di sma dengan guru	indonesia
14766	vuhhgw	di sma dengan teman sekelas	mandar
14767	vuhhgw	di kendaraan umum	indonesia
14768	vuhhgw	membaca novel/buku cerita	indonesia
14769	vuhhgw	membaca koran	indonesia
14770	vuhhgw	membaca majalah	indonesia
14771	vuhhgw	mendengar musik	indonesia
14772	vuhhgw	mendengar radio	indonesia
14773	vuhhgw	menonton tv	indonesia
14774	iyvjwo	dengan ibu	indonesia
14775	iyvjwo	dengan bapak	indonesia
14776	iyvjwo	dengan kakak/adik	indonesia
14777	iyvjwo	dengan nenek dan kakek	indonesia
14779	iyvjwo	dengan sanak saudara (tante, om, sepupu, dll)	indonesia
14780	iyvjwo	dengan tetangga	indonesia
14782	iyvjwo	apabila marah	indonesia
14783	iyvjwo	dalam mimpi	indonesia
14784	iyvjwo	berhitung	indonesia
14785	iyvjwo	kirim sms ke keluarga	indonesia
14786	iyvjwo	kirim sms ke teman	indonesia
14788	iyvjwo	dalam jejaring sosial (fb)	indonesia
14789	iyvjwo	berdoa dalam hati	arab
14790	iyvjwo	berdoa di tempat ibadah	arab
14791	iyvjwo	di rumah	indonesia
14793	iyvjwo	di pasar	indonesia
14794	iyvjwo	di warung	indonesia
14795	iyvjwo	di bank	indonesia
14796	iyvjwo	di kantor pos	indonesia
14797	iyvjwo	di sd dengan guru	indonesia
14798	iyvjwo	di sd dengan teman sekelas	indonesia
14799	iyvjwo	di sma dengan guru	arab
14800	iyvjwo	di sma dengan guru	inggris
14801	iyvjwo	di sma dengan teman sekelas	arab
14802	iyvjwo	di sma dengan teman sekelas	inggris
14803	iyvjwo	di kendaraan umum	indonesia
14804	iyvjwo	membaca novel/buku cerita	indonesia
14805	iyvjwo	membaca koran	indonesia
14806	iyvjwo	membaca majalah	indonesia
14807	iyvjwo	mendengar musik	indonesia
14808	iyvjwo	mendengar musik	inggris
14809	iyvjwo	mendengar radio	indonesia
14810	iyvjwo	menonton tv	indonesia
14811	utetfu	dengan ibu	jawa krama
14812	utetfu	dengan bapak	jawa krama
14813	utetfu	dengan kakak/adik	jawa ngoko
14814	utetfu	dengan nenek dan kakek	jawa krama
14816	utetfu	dengan sanak saudara (tante, om, sepupu, dll)	jawa krama
14817	utetfu	dengan tetangga	jawa krama ngoko
14819	utetfu	apabila marah	jawa ngoko
14820	utetfu	dalam mimpi	jawa
14821	utetfu	berhitung	jawa
14822	utetfu	kirim sms ke keluarga	jawa
14823	utetfu	kirim sms ke teman	indonesia
14825	utetfu	dalam jejaring sosial (fb)	indonesia
14826	utetfu	berdoa dalam hati	jawa krama
14827	utetfu	berdoa di tempat ibadah	jawa krama
14828	utetfu	di rumah	jawa krama ngoko
14829	utetfu	di tempat kerja	indonesia
14830	utetfu	di pasar	indonesia
14831	utetfu	di warung	indonesia
14832	utetfu	di bank	indonesia
14833	utetfu	di kantor pos	indonesia
14834	utetfu	di sd dengan guru	indonesia
14835	utetfu	di sd dengan teman sekelas	indonesia
14836	utetfu	di sma dengan guru	indonesia
14837	utetfu	di sma dengan teman sekelas	indonesia
14838	utetfu	di kendaraan umum	indonesia
14839	utetfu	membaca novel/buku cerita	indonesia
14840	utetfu	membaca koran	indonesia
14841	utetfu	membaca majalah	indonesia
14842	utetfu	mendengar musik	indonesia
14843	utetfu	mendengar radio	indonesia
14844	utetfu	menonton tv	indonesia
14845	vaaavh	dengan ibu	indonesia
14846	vaaavh	dengan ibu	jawa
14847	vaaavh	dengan bapak	indonesia
14848	vaaavh	dengan bapak	jawa
14849	vaaavh	dengan kakak/adik	indonesia
14850	vaaavh	dengan kakak/adik	jawa
14851	vaaavh	dengan nenek dan kakek	indonesia
14852	vaaavh	dengan nenek dan kakek	jawa
14854	vaaavh	dengan sanak saudara (tante, om, sepupu, dll)	indonesia
14855	vaaavh	dengan tetangga	jawa
14857	vaaavh	apabila marah	indonesia
14858	vaaavh	dalam mimpi	indonesia
14859	vaaavh	berhitung	indonesia
14860	vaaavh	kirim sms ke keluarga	indonesia
14861	vaaavh	kirim sms ke teman	indonesia
14862	vaaavh	kirim sms ke teman	jawa
14864	vaaavh	dalam jejaring sosial (fb)	indonesia
14865	vaaavh	berdoa dalam hati	indonesia
14866	vaaavh	berdoa di tempat ibadah	arab
14867	vaaavh	berdoa di tempat ibadah	indonesia
14868	vaaavh	di rumah	indonesia
14870	vaaavh	di pasar	indonesia
14871	vaaavh	di warung	indonesia
14872	vaaavh	di bank	indonesia
14873	vaaavh	di kantor pos	indonesia
14874	vaaavh	di sd dengan guru	indonesia
14875	vaaavh	di sd dengan teman sekelas	indonesia
14876	vaaavh	di sma dengan guru	indonesia
14877	vaaavh	di sma dengan teman sekelas	indonesia
14878	vaaavh	di kendaraan umum	indonesia
14879	vaaavh	membaca novel/buku cerita	indonesia
14880	vaaavh	membaca koran	indonesia
14881	vaaavh	membaca majalah	indonesia
14882	vaaavh	mendengar musik	arab
14883	vaaavh	mendengar musik	inggris
14884	vaaavh	mendengar musik	indonesia
14885	vaaavh	mendengar radio	indonesia
14886	vaaavh	menonton tv	indonesia
14887	mjgkuz	dengan ibu	sunda
14888	mjgkuz	dengan bapak	sunda
14889	mjgkuz	dengan kakak/adik	sunda
14890	mjgkuz	dengan nenek dan kakek	sunda
14892	mjgkuz	dengan sanak saudara (tante, om, sepupu, dll)	indonesia
14893	mjgkuz	dengan sanak saudara (tante, om, sepupu, dll)	sunda
14894	mjgkuz	dengan sanak saudara (tante, om, sepupu, dll)	jawa
14895	mjgkuz	dengan tetangga	sunda
14897	mjgkuz	apabila marah	jawa
14898	mjgkuz	apabila marah	sunda
14899	mjgkuz	dalam mimpi	indonesia
14900	mjgkuz	dalam mimpi	sunda
14901	mjgkuz	dalam mimpi	jawa
14902	mjgkuz	berhitung	indonesia
14903	mjgkuz	kirim sms ke keluarga	sunda
14904	mjgkuz	kirim sms ke teman	indonesia
14906	mjgkuz	dalam jejaring sosial (fb)	indonesia
14907	mjgkuz	dalam jejaring sosial (fb)	sunda
14908	mjgkuz	dalam jejaring sosial (fb)	jawa
14909	mjgkuz	berdoa dalam hati	indonesia
14910	mjgkuz	berdoa di tempat ibadah	indonesia
14911	mjgkuz	di rumah	sunda
14913	mjgkuz	di pasar	indonesia
14914	mjgkuz	di warung	indonesia
14915	mjgkuz	di warung	sunda
14916	mjgkuz	di bank	indonesia
14917	mjgkuz	di kantor pos	indonesia
14918	mjgkuz	di sd dengan guru	indonesia
14919	mjgkuz	di sd dengan teman sekelas	sunda
14920	mjgkuz	di sma dengan guru	indonesia
14921	mjgkuz	di sma dengan teman sekelas	indonesia
14922	mjgkuz	di sma dengan teman sekelas	sunda
14923	mjgkuz	di sma dengan teman sekelas	jawa
14924	mjgkuz	di kendaraan umum	indonesia
14925	mjgkuz	membaca novel/buku cerita	indonesia
14926	mjgkuz	membaca koran	indonesia
14927	mjgkuz	membaca majalah	indonesia
14928	mjgkuz	mendengar musik	indonesia
14929	mjgkuz	mendengar radio	indonesia
14930	mjgkuz	mendengar radio	sunda
14931	mjgkuz	menonton tv	indonesia
14932	zfznzz	dengan ibu	bangka
14933	zfznzz	dengan bapak	bangka
14934	zfznzz	dengan kakak/adik	bangka
14935	zfznzz	dengan nenek dan kakek	bangka
14937	zfznzz	dengan sanak saudara (tante, om, sepupu, dll)	bangka
14938	zfznzz	dengan tetangga	bangka
14940	zfznzz	apabila marah	bebas
14941	zfznzz	dalam mimpi	bangka
14942	zfznzz	berhitung	indonesia
14943	zfznzz	kirim sms ke keluarga	bangka
14944	zfznzz	kirim sms ke teman	indonesia
14945	zfznzz	kirim sms ke teman	bangka
14947	zfznzz	dalam jejaring sosial (fb)	indonesia
14948	zfznzz	dalam jejaring sosial (fb)	bangka
14949	zfznzz	berdoa dalam hati	indonesia
14950	zfznzz	berdoa di tempat ibadah	indonesia
14951	zfznzz	di rumah	bangka
14952	zfznzz	di tempat kerja	indonesia
14953	zfznzz	di pasar	bangka
14954	zfznzz	di warung	bangka
14955	zfznzz	di bank	indonesia
14956	zfznzz	di kantor pos	indonesia
14957	zfznzz	di sd dengan guru	indonesia
14958	zfznzz	di sd dengan teman sekelas	bangka
14959	zfznzz	di sma dengan guru	indonesia
14960	zfznzz	di sma dengan teman sekelas	bangka
14961	zfznzz	di kendaraan umum	bangka
14962	zfznzz	membaca novel/buku cerita	indonesia
14963	zfznzz	membaca koran	indonesia
14964	zfznzz	membaca majalah	indonesia
14965	zfznzz	mendengar musik	indonesia
14966	zfznzz	mendengar radio	bangka
14967	zfznzz	menonton tv	indonesia
14968	tynwxl	dengan ibu	jawa krama alus
14969	tynwxl	dengan bapak	jawa krama alus
14970	tynwxl	dengan kakak/adik	indonesia
14971	tynwxl	dengan kakak/adik	jawa
14972	tynwxl	dengan nenek dan kakek	jawa krama
14974	tynwxl	dengan sanak saudara (tante, om, sepupu, dll)	indonesia
14975	tynwxl	dengan sanak saudara (tante, om, sepupu, dll)	jawa
14976	tynwxl	dengan tetangga	indonesia
14977	tynwxl	dengan tetangga	jawa
14979	tynwxl	apabila marah	indonesia
14980	tynwxl	dalam mimpi	jawa
14981	tynwxl	berhitung	indonesia
14982	tynwxl	kirim sms ke keluarga	arab
14983	tynwxl	kirim sms ke keluarga	indonesia
14984	tynwxl	kirim sms ke keluarga	jawa
14985	tynwxl	kirim sms ke teman	arab
14986	tynwxl	kirim sms ke teman	indonesia
14988	tynwxl	dalam jejaring sosial (fb)	indonesia
14989	tynwxl	berdoa dalam hati	arab
14990	tynwxl	berdoa dalam hati	indonesia
14991	tynwxl	berdoa di tempat ibadah	arab
14992	tynwxl	berdoa di tempat ibadah	indonesia
14993	tynwxl	di rumah	jawa
14994	tynwxl	di tempat kerja	indonesia
14995	tynwxl	di pasar	indonesia
14996	tynwxl	di warung	indonesia
14997	tynwxl	di bank	indonesia
14998	tynwxl	di kantor pos	indonesia
14999	tynwxl	di sd dengan guru	indonesia
15000	tynwxl	di sd dengan teman sekelas	jawa
15001	tynwxl	di sma dengan guru	indonesia
15002	tynwxl	di sma dengan teman sekelas	jawa
15003	tynwxl	di kendaraan umum	indonesia
15004	tynwxl	membaca novel/buku cerita	indonesia
15005	tynwxl	membaca koran	indonesia
15006	tynwxl	membaca majalah	indonesia
15007	tynwxl	mendengar musik	arab
15008	tynwxl	mendengar musik	inggris
15009	tynwxl	mendengar musik	indonesia
15010	tynwxl	mendengar radio	indonesia
15011	tynwxl	menonton tv	indonesia
15012	swlbnj	dengan ibu	jawa
15013	swlbnj	dengan bapak	indonesia
15014	swlbnj	dengan bapak	jawa
15015	swlbnj	dengan kakak/adik	jawa
15016	swlbnj	dengan nenek dan kakek	jawa
15018	swlbnj	dengan sanak saudara (tante, om, sepupu, dll)	indonesia
15019	swlbnj	dengan sanak saudara (tante, om, sepupu, dll)	jawa
15025	swlbnj	kirim sms ke keluarga	indonesia
15026	swlbnj	kirim sms ke keluarga	jawa
15027	swlbnj	kirim sms ke teman	indonesia
15028	swlbnj	kirim sms ke teman	jawa
15030	swlbnj	dalam jejaring sosial (fb)	indonesia
15031	swlbnj	dalam jejaring sosial (fb)	inggris
15032	swlbnj	berdoa dalam hati	indonesia
15033	swlbnj	berdoa di tempat ibadah	arab
15034	swlbnj	berdoa di tempat ibadah	indonesia
15035	swlbnj	di rumah	jawa
15037	swlbnj	di pasar	indonesia
15038	swlbnj	di pasar	jawa
15039	swlbnj	di warung	jawa
15040	swlbnj	di bank	indonesia
15041	swlbnj	di kantor pos	indonesia
15042	swlbnj	di sd dengan guru	indonesia
15043	swlbnj	di sd dengan guru	jawa
15044	swlbnj	di sd dengan teman sekelas	jawa
15045	swlbnj	di sma dengan guru	indonesia
15046	swlbnj	di sma dengan guru	jawa
15047	swlbnj	di sma dengan teman sekelas	jawa
15049	swlbnj	membaca novel/buku cerita	indonesia
15050	swlbnj	membaca novel/buku cerita	inggris
15051	swlbnj	membaca koran	indonesia
15052	swlbnj	membaca majalah	indonesia
15053	swlbnj	mendengar musik	indonesia
15054	swlbnj	mendengar musik	inggris
15055	swlbnj	mendengar radio	indonesia
15056	swlbnj	mendengar radio	inggris
15057	swlbnj	menonton tv	indonesia
15058	swlbnj	menonton tv	inggris
15059	bjlvxy	dengan ibu	jawa
15061	bjlvxy	dengan kakak/adik	jawa
15062	bjlvxy	dengan nenek dan kakek	jawa
15064	bjlvxy	dengan sanak saudara (tante, om, sepupu, dll)	jawa
15065	bjlvxy	dengan tetangga	jawa
15068	bjlvxy	dalam mimpi	jawa
15069	bjlvxy	berhitung	indonesia
15070	bjlvxy	berhitung	jawa
15071	bjlvxy	kirim sms ke keluarga	jawa
15072	bjlvxy	kirim sms ke teman	indonesia
15073	bjlvxy	kirim sms ke teman	jawa
15075	bjlvxy	dalam jejaring sosial (fb)	indonesia
15076	bjlvxy	berdoa dalam hati	indonesia
15077	bjlvxy	berdoa di tempat ibadah	arab
15078	bjlvxy	di rumah	jawa
15080	bjlvxy	di pasar	jawa
15081	bjlvxy	di warung	jawa
15082	bjlvxy	di bank	indonesia
15083	bjlvxy	di kantor pos	indonesia
15084	bjlvxy	di sd dengan guru	jawa
15085	bjlvxy	di sd dengan teman sekelas	jawa
15086	bjlvxy	di sma dengan guru	jawa
15087	bjlvxy	di sma dengan teman sekelas	jawa
15090	bjlvxy	membaca koran	indonesia
15091	bjlvxy	membaca majalah	indonesia
15092	bjlvxy	mendengar musik	indonesia
15093	bjlvxy	mendengar musik	inggris
15094	bjlvxy	mendengar radio	indonesia
15095	bjlvxy	menonton tv	indonesia
15096	bjlvxy	menonton tv	jawa
15097	pylalb	dengan ibu	jawa
15098	pylalb	dengan bapak	jawa
15099	pylalb	dengan kakak/adik	jawa
15100	pylalb	dengan nenek dan kakek	jawa
15102	pylalb	dengan sanak saudara (tante, om, sepupu, dll)	jawa
15103	pylalb	dengan tetangga	jawa
15104	pylalb	dengan pembantu	jawa
15105	pylalb	apabila marah	jawa
15106	pylalb	dalam mimpi	jawa
15107	pylalb	berhitung	jawa
15108	pylalb	kirim sms ke keluarga	jawa
15109	pylalb	kirim sms ke teman	jawa
15111	pylalb	dalam jejaring sosial (fb)	indonesia
15112	pylalb	berdoa dalam hati	jawa
15113	pylalb	berdoa di tempat ibadah	jawa
15114	pylalb	di rumah	jawa
15115	pylalb	di tempat kerja	indonesia
15116	pylalb	di pasar	jawa
15117	pylalb	di warung	jawa
15118	pylalb	di bank	indonesia
15119	pylalb	di kantor pos	indonesia
15120	pylalb	di sd dengan guru	indonesia
15121	pylalb	di sd dengan teman sekelas	jawa
15122	pylalb	di sma dengan guru	jawa
15123	pylalb	di sma dengan teman sekelas	jawa
15124	pylalb	di kendaraan umum	jawa
15125	pylalb	membaca novel/buku cerita	indonesia
15126	pylalb	membaca koran	indonesia
15127	pylalb	membaca majalah	indonesia
15128	pylalb	mendengar musik	indonesia
15129	pylalb	mendengar radio	indonesia
15130	pylalb	menonton tv	indonesia
15131	bfreap	dengan ibu	jawa krama
15132	bfreap	dengan ibu	ngoko
15133	bfreap	dengan bapak	jawa krama
15134	bfreap	dengan bapak	ngoko
15135	bfreap	dengan kakak/adik	jawa ngoko
15136	bfreap	dengan nenek dan kakek	jawa krama
15137	bfreap	dengan nenek dan kakek	ngoko
15139	bfreap	dengan sanak saudara (tante, om, sepupu, dll)	jawa krama
15140	bfreap	dengan sanak saudara (tante, om, sepupu, dll)	ngoko
15143	bfreap	apabila marah	jawa ngoko
15144	bfreap	dalam mimpi	jawa
15145	bfreap	berhitung	indonesia
15146	bfreap	kirim sms ke keluarga	indonesia
15147	bfreap	kirim sms ke teman	indonesia
15149	bfreap	dalam jejaring sosial (fb)	indonesia
15150	bfreap	berdoa dalam hati	indonesia
15151	bfreap	berdoa di tempat ibadah	indonesia
15152	bfreap	di rumah	jawa khas kebumen ngapak
15154	bfreap	di pasar	indonesia
15155	bfreap	di warung	jawa ngoko
15156	bfreap	di bank	indonesia
15157	bfreap	di kantor pos	indonesia
15158	bfreap	di sd dengan guru	indonesia
15159	bfreap	di sd dengan teman sekelas	jawa ngoko
15160	bfreap	di sma dengan guru	indonesia
15161	bfreap	di sma dengan teman sekelas	indonesia
15162	bfreap	di sma dengan teman sekelas	jawa
15163	bfreap	di kendaraan umum	indonesia
15164	bfreap	membaca novel/buku cerita	indonesia
15165	bfreap	membaca koran	indonesia
15166	bfreap	membaca majalah	indonesia
15167	bfreap	mendengar musik	indonesia
15168	bfreap	mendengar radio	indonesia
15169	bfreap	menonton tv	indonesia
15170	apcmgo	dengan ibu	tegal
15171	apcmgo	dengan bapak	tegal
15172	apcmgo	dengan kakak/adik	tegal
15173	apcmgo	dengan nenek dan kakek	tegal
15175	apcmgo	dengan sanak saudara (tante, om, sepupu, dll)	tegal
15176	apcmgo	dengan tetangga	tegal
15178	apcmgo	apabila marah	tegal
15179	apcmgo	dalam mimpi	tegal
15180	apcmgo	berhitung	tegal
15181	apcmgo	kirim sms ke keluarga	tegal
15182	apcmgo	kirim sms ke teman	indonesia
15184	apcmgo	dalam jejaring sosial (fb)	indonesia
15185	apcmgo	berdoa dalam hati	arab
15186	apcmgo	berdoa di tempat ibadah	arab
15187	apcmgo	di rumah	tegal
15189	apcmgo	di pasar	krama
15190	apcmgo	di pasar	jawa
15191	apcmgo	di warung	krama
15192	apcmgo	di warung	jawa
15193	apcmgo	di bank	indonesia
15194	apcmgo	di kantor pos	indonesia
15195	apcmgo	di sd dengan guru	indonesia
15196	apcmgo	di sd dengan teman sekelas	tegal
15197	apcmgo	di sma dengan guru	indonesia
15198	apcmgo	di sma dengan teman sekelas	tegal
15199	apcmgo	di kendaraan umum	krama
15200	apcmgo	di kendaraan umum	jawa
15201	apcmgo	membaca novel/buku cerita	indonesia
15202	apcmgo	membaca koran	indonesia
15203	apcmgo	membaca majalah	indonesia
15204	apcmgo	mendengar musik	indonesia
15205	apcmgo	mendengar radio	indonesia
15206	apcmgo	menonton tv	indonesia
15207	pzhfdy	dengan ibu	jawa
15208	pzhfdy	dengan bapak	jawa
15209	pzhfdy	dengan kakak/adik	jawa
15210	pzhfdy	dengan nenek dan kakek	jawa krama
15212	pzhfdy	dengan sanak saudara (tante, om, sepupu, dll)	jawa
15213	pzhfdy	dengan tetangga	jawa
15215	pzhfdy	apabila marah	jawa
15216	pzhfdy	dalam mimpi	jawa
15217	pzhfdy	berhitung	indonesia
15218	pzhfdy	berhitung	jawa
15219	pzhfdy	kirim sms ke keluarga	indonesia
15220	pzhfdy	kirim sms ke keluarga	jawa
15221	pzhfdy	kirim sms ke teman	indonesia
15222	pzhfdy	kirim sms ke teman	jawa
15224	pzhfdy	dalam jejaring sosial (fb)	indonesia
15225	pzhfdy	berdoa dalam hati	indonesia
15226	pzhfdy	berdoa di tempat ibadah	indonesia
15227	pzhfdy	di rumah	jawa
15229	pzhfdy	di pasar	jawa inggil
15230	pzhfdy	di warung	jawa
15231	pzhfdy	di bank	indonesia
15232	pzhfdy	di kantor pos	indonesia
15233	pzhfdy	di sd dengan guru	indonesia
15234	pzhfdy	di sd dengan teman sekelas	jawa
15235	pzhfdy	di sma dengan guru	indonesia
15236	pzhfdy	di sma dengan teman sekelas	indonesia
15237	pzhfdy	di kendaraan umum	indonesia
15238	pzhfdy	membaca novel/buku cerita	indonesia
15239	pzhfdy	membaca koran	indonesia
15240	pzhfdy	membaca majalah	indonesia
15241	pzhfdy	mendengar musik	indonesia
15242	pzhfdy	mendengar radio	indonesia
15243	pzhfdy	menonton tv	indonesia
15244	zuwais	dengan ibu	indonesia
15245	zuwais	dengan ibu	jawa
15246	zuwais	dengan bapak	indonesia
15247	zuwais	dengan bapak	jawa
15248	zuwais	dengan kakak/adik	indonesia
15249	zuwais	dengan kakak/adik	jawa
15250	zuwais	dengan nenek dan kakek	jawa
15252	zuwais	dengan sanak saudara (tante, om, sepupu, dll)	indonesia
15253	zuwais	dengan sanak saudara (tante, om, sepupu, dll)	jawa
15254	zuwais	dengan tetangga	jawa
15256	zuwais	apabila marah	indonesia
15257	zuwais	apabila marah	jawa
15259	zuwais	berhitung	indonesia
15260	zuwais	kirim sms ke keluarga	indonesia
15261	zuwais	kirim sms ke keluarga	jawa
15262	zuwais	kirim sms ke teman	indonesia
15263	zuwais	kirim sms ke teman	jawa
15265	zuwais	dalam jejaring sosial (fb)	indonesia
15266	zuwais	dalam jejaring sosial (fb)	jawa
15267	zuwais	berdoa dalam hati	indonesia
15268	zuwais	berdoa di tempat ibadah	indonesia
15269	zuwais	di rumah	indonesia
15270	zuwais	di rumah	jawa
15272	zuwais	di pasar	jawa
15273	zuwais	di warung	indonesia
15274	zuwais	di warung	jawa
15275	zuwais	di bank	indonesia
15276	zuwais	di kantor pos	indonesia
15277	zuwais	di sd dengan guru	indonesia
15278	zuwais	di sd dengan guru	jawa
15279	zuwais	di sd dengan teman sekelas	jawa
15280	zuwais	di sma dengan guru	indonesia
15281	zuwais	di sma dengan guru	jawa
15282	zuwais	di sma dengan teman sekelas	indonesia
15283	zuwais	di sma dengan teman sekelas	jawa
15284	zuwais	di kendaraan umum	indonesia
15285	zuwais	di kendaraan umum	jawa
15286	zuwais	membaca novel/buku cerita	indonesia
15287	zuwais	membaca koran	indonesia
15288	zuwais	membaca majalah	indonesia
15289	zuwais	mendengar musik	indonesia
15290	zuwais	mendengar radio	indonesia
15291	zuwais	mendengar radio	jawa
15292	zuwais	menonton tv	indonesia
15293	zuwais	menonton tv	jawa
15294	zuwais	menonton tv	inggris
15295	xcsixi	dengan ibu	indonesia
15296	xcsixi	dengan bapak	indonesia
15297	xcsixi	dengan kakak/adik	indonesia
15298	xcsixi	dengan nenek dan kakek	batak
15300	xcsixi	dengan sanak saudara (tante, om, sepupu, dll)	batak
15301	xcsixi	dengan tetangga	indonesia
15302	xcsixi	dengan tetangga	batak
15304	xcsixi	apabila marah	indonesia
15305	xcsixi	dalam mimpi	indonesia
15306	xcsixi	berhitung	indonesia
15307	xcsixi	berhitung	batak
15308	xcsixi	kirim sms ke keluarga	indonesia
15309	xcsixi	kirim sms ke keluarga	batak
15310	xcsixi	kirim sms ke teman	arab
15311	xcsixi	kirim sms ke teman	indonesia
15313	xcsixi	dalam jejaring sosial (fb)	indonesia
15314	xcsixi	dalam jejaring sosial (fb)	inggris
15315	xcsixi	berdoa dalam hati	arab
15316	xcsixi	berdoa dalam hati	indonesia
15317	xcsixi	berdoa di tempat ibadah	arab
15318	xcsixi	di rumah	indonesia
15319	xcsixi	di rumah	batak
15320	xcsixi	di tempat kerja	indonesia
15321	xcsixi	di pasar	indonesia
15322	xcsixi	di warung	indonesia
15323	xcsixi	di bank	indonesia
15324	xcsixi	di kantor pos	indonesia
15325	xcsixi	di sd dengan guru	indonesia
15326	xcsixi	di sd dengan teman sekelas	indonesia
15327	xcsixi	di sd dengan teman sekelas	batak
15328	xcsixi	di sma dengan guru	arab
15329	xcsixi	di sma dengan teman sekelas	arab
15330	xcsixi	di kendaraan umum	indonesia
15331	xcsixi	membaca novel/buku cerita	indonesia
15332	xcsixi	membaca koran	indonesia
15333	xcsixi	membaca majalah	indonesia
15334	xcsixi	mendengar musik	indonesia
15335	xcsixi	mendengar musik	inggris
15336	xcsixi	mendengar radio	arab
15337	xcsixi	mendengar radio	inggris
15338	xcsixi	mendengar radio	indonesia
15339	xcsixi	menonton tv	indonesia
15340	oovpzc	dengan ibu	jawa
15341	oovpzc	dengan bapak	banjar
15342	oovpzc	dengan bapak	jawa
15343	oovpzc	dengan kakak/adik	jawa
15344	oovpzc	dengan nenek dan kakek	jawa
15346	oovpzc	dengan sanak saudara (tante, om, sepupu, dll)	indonesia
15347	oovpzc	dengan sanak saudara (tante, om, sepupu, dll)	jawa
15348	oovpzc	dengan tetangga	jawa
15350	oovpzc	apabila marah	banjar
15352	oovpzc	berhitung	jawa
15353	oovpzc	kirim sms ke keluarga	indonesia
15354	oovpzc	kirim sms ke keluarga	jawa
15355	oovpzc	kirim sms ke teman	indonesia
15357	oovpzc	dalam jejaring sosial (fb)	indonesia
15358	oovpzc	berdoa dalam hati	indonesia
15359	oovpzc	berdoa di tempat ibadah	indonesia
15360	oovpzc	di rumah	indonesia
15361	oovpzc	di rumah	jawa
15363	oovpzc	di pasar	indonesia
15364	oovpzc	di warung	indonesia
15365	oovpzc	di warung	jawa
15366	oovpzc	di bank	indonesia
15367	oovpzc	di kantor pos	indonesia
15368	oovpzc	di sd dengan guru	indonesia
15369	oovpzc	di sd dengan teman sekelas	jawa
15370	oovpzc	di sma dengan guru	indonesia
15371	oovpzc	di sma dengan teman sekelas	indonesia
15372	oovpzc	di sma dengan teman sekelas	jawa
15373	oovpzc	di kendaraan umum	indonesia
15374	oovpzc	membaca novel/buku cerita	indonesia
15375	oovpzc	membaca koran	indonesia
15376	oovpzc	membaca majalah	indonesia
15377	oovpzc	mendengar musik	indonesia
15378	oovpzc	mendengar musik	inggris
15379	oovpzc	mendengar radio	indonesia
15380	oovpzc	menonton tv	indonesia
15381	oovpzc	menonton tv	inggris
15382	gowzbp	dengan ibu	jawa krama
15383	gowzbp	dengan bapak	jawa krama
15384	gowzbp	dengan kakak/adik	jawa
15385	gowzbp	dengan nenek dan kakek	jawa krama
15387	gowzbp	dengan sanak saudara (tante, om, sepupu, dll)	jawa krama
15388	gowzbp	dengan tetangga	jawa krama
15390	gowzbp	apabila marah	jawa
15391	gowzbp	dalam mimpi	jawa
15392	gowzbp	berhitung	jawa
15393	gowzbp	kirim sms ke keluarga	jawa krama
15394	gowzbp	kirim sms ke teman	indonesia
15395	gowzbp	kirim sms ke teman	jawa
15397	gowzbp	dalam jejaring sosial (fb)	indonesia
15398	gowzbp	dalam jejaring sosial (fb)	jawa
15399	gowzbp	berdoa dalam hati	arab
15400	gowzbp	berdoa dalam hati	indonesia
15401	gowzbp	berdoa di tempat ibadah	arab
15402	gowzbp	berdoa di tempat ibadah	indonesia
15403	gowzbp	di rumah	jawa krama
15404	gowzbp	di tempat kerja	jawa krama
15405	gowzbp	di tempat kerja	jawa
15406	gowzbp	di pasar	jawa
15407	gowzbp	di warung	jawa
15408	gowzbp	di bank	indonesia
15409	gowzbp	di kantor pos	indonesia
15410	gowzbp	di sd dengan guru	indonesia
