"7 Dec UN #25","ZLYHLS","130405123502883466551498","48"," ","Perempuan","Orang tua"
"7 Dec UN #26","YXVBXI","130405125859877659933175","62"," ","Perempuan","Orang tua"
"7 Dec UN #27","QMRKUR","130405131240484552922378","60"," ","Perempuan","Orang tua"
"","BMDKPY","130405145643932471114116","1971"," ","Laki",""
"","DTDVUS","130405162259325394158577","1991","Jawa Tengah - Kota Semarang","Perempuan","orang tua"
"..","WYNGZC","130406043609163219480402","1972","Jawa Barat - Kota Bandung","Perempuan","orang tua"
"Critical and crucial ","BOAXJQ","130406095916628040909766","1993","Jawa Barat - Kabupaten Bekasi","Laki","orang tua saya"
"7 Dec UN #27","ZKCOUE","130409100047688475825962","60 thn"," ","Perempuan","Orang tua"
"7 Dec UN #28","MZTYGG","130409103916485081234154","41 th"," ","Laki","Orang tua"
"7 Dec UN #29","MORHAA","130409111610523522911080","52 th"," ","Perempuan","Orang tua"
"","LBEIIM","130411004530264403758151","1985","DKI Jakarta - Kota Administrasi Jakarta Utara","Perempuan","orangtua"
"","CDDPXQ","130411214135606869396240","1991","DKI Jakarta - Kota Administrasi Jakarta Selatan","Perempuan","orang tua"
"","RFOTJC","130502130135778026401390","1989","DKI Jakarta - Kota Administrasi Jakarta Barat","Perempuan","orangtua"
"nothing","RCJNKH","130502142004143058898998","1990","Jawa Tengah - Kabupaten Semarang","Perempuan","Orang tua dan kakak perempuan"
"","CMLUZC","130502184831798219975642","1990","DKI Jakarta - Kota Administrasi Jakarta Barat","Perempuan","orang tua"
"","OKXYRY","130502201100640679323579","1995","DKI Jakarta - Kota Administrasi Jakarta Barat","Perempuan","Orangtua"
"","DVSIWS","130503073122223661836376","1990","DKI Jakarta - Kota Administrasi Jakarta Barat","Perempuan","Orang tua"
"","VUZLIN","130503141341972257543773","1979","Nusa Tenggara Timur - Kabupaten Ende","Laki","orang tua dan saudara saya"
"soal suku membingungkan, krn keturunan cina, ortu jawa, tapi lingkungan medan total bhs indonesia dgn tetangga aceh, padang, batak, melayu","AJKTRY","130503175434138487583352","1976","Sumatera Utara - Kota Medan","Perempuan","orangtua"
