,,,,,,,,,,,di SD dengan teman sekelas,"Bahasa Indonesia, Bahasa Jawa"
,,,,,,,,,,,di SMA dengan guru,Bahasa Indonesia
,,,,,,,,,,,di SMA dengan teman sekelas,Bahasa Indonesia
,,,,,,,,,,,di kendaraan umum,Bahasa Indonesia
,,,,,,,,,,,membaca novel/buku cerita,"Bahasa Indonesia, Bahasa Inggris"
,,,,,,,,,,,membaca koran,"Bahasa Indonesia, Bahasa Inggris"
,,,,,,,,,,,membaca majalah,Bahasa Indonesia
,,,,,,,,,,,mendengar musik,"Bahasa Indonesia, Bahasa Inggris"
,,,,,,,,,,,mendengar radio,"Bahasa Indonesia, Bahasa Inggris"
,,,,,,,,,,,menonton TV,"Bahasa Indonesia, Bahasa Inggris"
#24 5Mar UI,SSXYPN,1.30404E+23,1993,DKI Jakarta,Laki,Bahasa Minang,Lancar,Lancar,Lancar,Lancar,dengan ibu,Bahasa Indonesia
,,,,,,Bahasa Indonesia,Lancar,Lancar,Lancar,Lancar,dengan bapak,Bahasa Indonesia
,,,,,,Bahasa Sunda,Lancar,Lancar,Lancar,Lancar,dengan kakak/adik,Bahasa Indonesia
,,,,,,,,,,,dengan nenek dan kakek,"Bahasa Indonesia, Bahasa Minang"
,,,,,,,,,,,dengan suami/istri (kalau sudah menikah),
,,,,,,,,,,,"dengan sanak saudara (tante, om, sepupu, dll)",Bahasa Indonesia
,,,,,,,,,,,dengan tetangga,Bahasa Indonesia
,,,,,,,,,,,dengan pembantu,Bahasa Indonesia
,,,,,,,,,,,apabila marah,Bahasa Indonesia
,,,,,,,,,,,dalam mimpi,Bahasa Indonesia
,,,,,,,,,,,berhitung,Bahasa Indonesia
,,,,,,,,,,,kirim sms ke keluarga,Bahasa Indonesia
,,,,,,,,,,,kirim sms ke teman,Bahasa Indonesia
,,,,,,,,,,,kirim sms ke suami/istri ,
,,,,,,,,,,,dalam jejaring sosial (FB),"Bahasa Indonesia, Bahasa Inggris"
,,,,,,,,,,,berdoa dalam hati,Bahasa Indonesia
,,,,,,,,,,,berdoa di tempat ibadah,Bahasa Indonesia
,,,,,,,,,,,di rumah,Bahasa Indonesia
,,,,,,,,,,,di tempat kerja,Bahasa Indonesia
,,,,,,,,,,,di pasar,Bahasa Indonesia
,,,,,,,,,,,di warung,Bahasa Indonesia
,,,,,,,,,,,di bank,Bahasa Indonesia
,,,,,,,,,,,di kantor pos,Bahasa Indonesia
,,,,,,,,,,,di SD dengan guru,Bahasa Indonesia
,,,,,,,,,,,di SD dengan teman sekelas,Bahasa Indonesia
,,,,,,,,,,,di SMA dengan guru,Bahasa Indonesia
,,,,,,,,,,,di SMA dengan teman sekelas,Bahasa Indonesia
,,,,,,,,,,,di kendaraan umum,Bahasa Indonesia
,,,,,,,,,,,membaca novel/buku cerita,Bahasa Indonesia
,,,,,,,,,,,membaca koran,Bahasa Indonesia
,,,,,,,,,,,membaca majalah,Bahasa Indonesia
,,,,,,,,,,,mendengar musik,Bahasa Indonesia
,,,,,,,,,,,mendengar radio,Bahasa Indonesia
,,,,,,,,,,,menonton TV,Bahasa Indonesia
#23 5Mar UI,IGGAXC,1.30404E+23,1965,DKI Jakarta,Perempuan,Bahasa Indonesia,Sangat lancar,Sangat lancar,Sangat lancar,Sangat lancar,dengan ibu,"Bahasa Indonesia, Bahasa Sunda"
,,,,,,Bahasa Sunda,Lancar,Sedikit lancar,Tidak bisa,Tidak bisa,dengan bapak,"Bahasa Indonesia, Bahasa Sunda"
,,,,,,Bahasa Inggris,Lancar,Lancar,Lancar,Lancar,dengan kakak/adik,"Bahasa Indonesia, Bahasa Inggris"
,,,,,,,,,,,dengan nenek dan kakek,"Bahasa Indonesia, Bahasa Sunda"
,,,,,,,,,,,dengan suami/istri (kalau sudah menikah),Bahasa Indonesia
,,,,,,,,,,,"dengan sanak saudara (tante, om, sepupu, dll)",Bahasa Indonesia
,,,,,,,,,,,dengan tetangga,Bahasa Indonesia
,,,,,,,,,,,dengan pembantu,Bahasa Indonesia
,,,,,,,,,,,apabila marah,Bahasa Indonesia
,,,,,,,,,,,dalam mimpi,Bahasa Indonesia
,,,,,,,,,,,berhitung,Bahasa Indonesia
,,,,,,,,,,,kirim sms ke keluarga,Bahasa Indonesia
,,,,,,,,,,,kirim sms ke teman,"Bahasa Indonesia, Bahasa Inggris"
,,,,,,,,,,,kirim sms ke suami/istri ,Bahasa Indonesia
,,,,,,,,,,,dalam jejaring sosial (FB),"Bahasa Indonesia, Bahasa Inggris"
,,,,,,,,,,,berdoa dalam hati,Bahasa Indonesia
,,,,,,,,,,,berdoa di tempat ibadah,Bahasa Indonesia
,,,,,,,,,,,di rumah,"Bahasa Indonesia, Bahasa Sunda, Bahasa Inggris"
,,,,,,,,,,,di tempat kerja,"Bahasa Indonesia, Bahasa Inggris"
,,,,,,,,,,,di pasar,Bahasa Indonesia
